MS,MP,ML,EsS,EsP,EsL,Clase
2.571428571,4.142857143,3.857142857,3.571428571,4.285714286,4.285714286,EP
3.714285714,3.857142857,3,2.714285714,3.714285714,3.285714286,EP
4.142857143,3.857142857,3.285714286,3,3.142857143,4,EL
3.571428571,3,4.571428571,3.857142857,3.428571429,4.142857143,EL
3,3,3.714285714,3.857142857,3.571428571,3,ES
3.142857143,3.857142857,4.285714286,3.142857143,3.285714286,2.285714286,EP
2.714285714,3.571428571,3.285714286,2.857142857,4.142857143,4.142857143,EP
3.714285714,3.571428571,3.571428571,2.714285714,3.142857143,3,EP
3,2.714285714,3,2.714285714,3.142857143,2.857142857,EP
3,2.857142857,4.428571429,3.142857143,3.857142857,3.285714286,EL
3.857142857,4.571428571,4,3.571428571,3.571428571,3.285714286,EP
3.714285714,4,3.857142857,3,3.142857143,2.571428571,EP
4.142857143,3.571428571,4.142857143,3.714285714,3.142857143,2.571428571,ES
2.142857143,2.714285714,4.571428571,2.714285714,4.142857143,4.285714286,EL
3.714285714,4,4.857142857,2.857142857,3.428571429,3.571428571,EL
3.714285714,3.714285714,4,3.285714286,3.428571429,3.571428571,EL
4,4,3.57142857,4,3.14285714,2,ES
3.57142857,3.71428571,3.71428571,2.85714286,3.42857143,3.71428571,EL
4.85714286,4.14285714,4.71428571,3.28571429,2.42857143,2.85714286,ES
3.57142857,3.42857143,3.57142857,3.14285714,3.28571429,2.85714286,ES
3.71428571,3.57142857,4.28571429,3.28571429,4.14285714,4.14285714,EL
3.14285714,4.42857143,3.57142857,2.42857143,4.85714286,3.85714286,EP
4.42857143,3.71428571,3.57142857,3.14285714,3.57142857,3.57142857,ES
2.71428571,3.28571429,3.28571429,3.28571429,4.14285714,4,EP
4,3.85714286,4.42857143,3,3.57142857,2.85714286,EP
3.71428571,3.85714286,3.71428571,3.28571429,3,3.28571429,ES
3.28571429,3,2.42857143,2.14285714,3.57142857,2.14285714,EP
3,4.42857143,3.71428571,3.85714286,4.14285714,3.28571429,EP
4.14285714,4.57142857,3.85714286,3.85714286,3.85714286,3.28571429,EP
3.14285714,3.28571429,3.71428571,3,3.28571429,3.71428571,EL
4,3.71428571,3.71428571,4,3.57142857,3.85714286,ES
4.28571429,3.71428571,3.42857143,3.28571429,3.28571429,2.42857143,ES
4.71428571,4.28571429,4.71428571,4.42857143,4.71428571,4.42857143,ES
4.71428571,4.42857143,4.71428571,2.85714286,4.42857143,4.57142857,EL
3.57142857,3.28571429,3.71428571,3,3.14285714,3.14285714,EL
4.42857143,3.85714286,2.42857143,2.42857143,4.14285714,2.28571429,EP
2.57142857,3.28571429,3,3.14285714,3.14285714,1.85714286,EP
2.57142857,4,4.14285714,2.57142857,4.85714286,4.14285714,EP
3.71428571,3.71428571,3.28571429,3.42857143,2.57142857,2.14285714,ES
4.42857143,4.71428571,2.71428571,3.28571429,4.57142857,3,EP
4,3,4.14285714,2.57142857,3,3.42857143,EL
3.71428571,3.85714286,3.28571429,3,2.57142857,2.14285714,ES
3.71428571,4.42857143,3.42857143,2.14285714,3.42857143,1.85714286,EP
3.57142857,4,3.42857143,3.71428571,3.28571429,4.42857143,EL
4,3.42857143,4.85714286,3.28571429,4,4.28571429,EL
3.71428571,4,3.57142857,3,4,2.85714286,EP
4,3.85714286,3,3.42857143,2.71428571,2.14285714,ES
4,4.42857143,3.57142857,3.28571429,2.85714286,2.71428571,ES
3.42857143,4.71428571,4,2.14285714,3.57142857,3.14285714,EP
3.42857143,3.57142857,1.57142857,3.14285714,3.28571429,2,EP
4.14285714,4.71428571,2.71428571,2.71428571,4.42857143,2.14285714,EP
4,3.85714286,2.85714286,3.71428571,2,2.28571429,ES
4.71428571,5,5,4.57142857,4.71428571,4.85714286,EL
3.57142857,3.42857143,3,2.71428571,3.14285714,2.57142857,EP
3.71428571,3.57142857,4.57142857,2.42857143,3.14285714,2.71428571,EL
3.14285714,3.42857143,2.71428571,2.85714286,2,1.28571429,ES
3.42857143,3.28571429,3.28571429,3.14285714,2.85714286,2.85714286,ES
3.85714286,4,2.85714286,2.28571429,4.14285714,2.28571429,EP
4.42857143,4.71428571,4.42857143,3.85714286,4.42857143,4,EP
3.42857143,4.14285714,2.85714286,3,3.57142857,2.42857143,EP
3.85714286,4.42857143,2.14285714,4.57142857,4,1.28571429,ES
3.42857143,4.85714286,3.14285714,4,4.85714286,3.42857143,EP
3.85714286,4,3.71428571,3.14285714,4.14285714,3,EP
3.71428571,3.85714286,3.71428571,3,3,3.28571429,EL
3,3,3,3,3.14285714,3,EP
1.85714286,3,2.57142857,2.85714286,3.28571429,2,EP
2.71428571,2.85714286,2.14285714,3.28571429,4,1.71428571,EP
4.14285714,4.42857143,2.71428571,2.85714286,3.14285714,2,EP
3,3.71428571,3.57142857,3.14285714,3.57142857,2.57142857,EP
4.57142857,4.71428571,3.71428571,3.71428571,3.57142857,2.28571429,ES
